article,stage,x_economic,y_social
data/articles\anthropic-articles\NYT-anthropic.txt,2,-1.87,-6.46179487179487
data/articles\anthropic-articles\NYT-anthropic.txt,3,-1.87,-5.795128205128203
data/articles\anthropic-articles\NYT-anthropic.txt,4,-1.12,-6.102820512820512
data/articles\anthropic-articles\NYT-anthropic.txt,5,-1.87,-6.102820512820512
data/articles\anthropic-articles\NYT-anthropic.txt,6,-1.12,-5.692564102564101
data/articles\anthropic-articles\NYT-anthropic.txt,7,-0.9950000000000001,-6.102820512820512
data/articles\anthropic-articles\NYT-anthropic.txt,8,-1.12,-6.0002564102564095
data/articles\anthropic-articles\NYT-anthropic.txt,9,-1.12,-5.8976923076923065
data/articles\anthropic-articles\NYT-anthropic.txt,10,-1.12,-5.795128205128204
data/articles\anthropic-articles\NYT-anthropic.txt,11,-0.7450000000000001,-5.692564102564101
data/articles\Iran-articles\AP-Iran.txt,0,-1.12,-6.307948717948716
data/articles\Iran-articles\AP-Iran.txt,1,-1.995,-6.5130769230769205
data/articles\Iran-articles\AP-Iran.txt,2,-1.87,-6.410512820512819
data/articles\Iran-articles\AP-Iran.txt,3,-1.12,-6.307948717948716
data/articles\Iran-articles\AP-Iran.txt,4,-1.12,-6.410512820512819
data/articles\Iran-articles\AP-Iran.txt,5,-1.12,-6.205384615384614
data/articles\Iran-articles\AP-Iran.txt,6,-1.87,-6.307948717948717
data/articles\Iran-articles\AP-Iran.txt,7,-1.87,-6.307948717948717
data/articles\Iran-articles\AP-Iran.txt,8,-1.12,-6.205384615384614
data/articles\Iran-articles\AP-Iran.txt,9,-1.87,-6.4105128205128175
data/articles\Iran-articles\AP-Iran.txt,10,-1.745,-6.205384615384614
data/articles\Iran-articles\AP-Iran.txt,11,-0.9950000000000001,-6.410512820512818
data/articles\Iran-articles\BBC-Iran.txt,0,-1.12,-6.307948717948716
data/articles\Iran-articles\BBC-Iran.txt,1,-1.87,-6.4105128205128175
data/articles\Iran-articles\BBC-Iran.txt,2,-1.62,-6.102820512820511
data/articles\Iran-articles\BBC-Iran.txt,3,-1.745,-6.205384615384614
data/articles\Iran-articles\BBC-Iran.txt,4,-1.87,-6.205384615384614
data/articles\Iran-articles\BBC-Iran.txt,5,-1.87,-6.205384615384614
data/articles\Iran-articles\BBC-Iran.txt,6,-1.87,-6.205384615384614
data/articles\Iran-articles\BBC-Iran.txt,7,-1.745,-6.410512820512819
data/articles\Iran-articles\BBC-Iran.txt,8,-1.87,-6.205384615384613
data/articles\Iran-articles\BBC-Iran.txt,9,-1.62,-6.307948717948716
data/articles\Iran-articles\BBC-Iran.txt,10,-0.8700000000000001,-6.000256410256409
data/articles\Iran-articles\BBC-Iran.txt,11,-1.62,-6.4105128205128175
data/articles\Iran-articles\CNN-Iran.txt,0,-1.12,-6.4617948717948686
data/articles\Iran-articles\CNN-Iran.txt,1,-0.9950000000000001,-6.256666666666665
data/articles\Iran-articles\CNN-Iran.txt,2,-1.87,-5.897692307692306
data/articles\Iran-articles\CNN-Iran.txt,3,-1.87,-6.102820512820511
data/articles\Iran-articles\CNN-Iran.txt,4,-1.87,-6.205384615384614
data/articles\Iran-articles\CNN-Iran.txt,5,-1.87,-6.410512820512819
data/articles\Iran-articles\CNN-Iran.txt,6,-1.87,-6.205384615384614
data/articles\Iran-articles\CNN-Iran.txt,7,-1.12,-6.307948717948716
data/articles\Iran-articles\CNN-Iran.txt,8,-1.87,-6.5130769230769205
data/articles\Iran-articles\CNN-Iran.txt,9,-1.12,-6.410512820512819
data/articles\Iran-articles\CNN-Iran.txt,10,-0.9950000000000001,-6.102820512820511
data/articles\Iran-articles\CNN-Iran.txt,11,-1.12,-6.410512820512819
